NAZWA;OPIS;OPIS2;SLOWA;TYP;SKALA;ROZMIAR;DOKLADNOSC;WART_MIN;WART_MAX;ETYKIETA;WARUNEK
H55;Liczba miêdzynarodowych wydarzeñ sportowych w rejonie gminy (w ci¹gu ostatnich 2 lat).;Liczba miêdzynarodowych wydarzeñ sportowych w rejonie gminy (w ci¹gu ostatnich 2 lat).;liczba miêdzynarodowych wydarzeñ sportowych;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H56;Liczba krajowych (ogólnopolskich, og³aszanych i realizowanych centralnie) projektów edukacyjnych realizowanych w rejonie gminy, w tym wspó³finansowanych z EFS, w których realizowana jest nauka jêzyka angielskiego (w ci¹gu ostatnich 2 lat).;Liczba krajowych (ogólnopolskich, og³aszanych i realizowanych centralnie) projektów edukacyjnych realizowanych w rejonie gminy, w tym wspó³finansowanych z EFS, w których realizowana jest nauka jêzyka angielskiego (w ci¹gu ostatnich 2 lat).;liczba krajowych projektów edukacyjnych;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H57;Liczba krajowych (ogólnopolskich, og³aszanych i realizowanych centralnie) projektów edukacyjnych realizowanych w rejonie gminy, w tym wspó³finansowanych z EFS, w których jêzyk angielski jest jêzykiem roboczym (w ci¹gu ostatnich 2 lat).;Liczba krajowych (ogólnopolskich, og³aszanych i realizowanych centralnie) projektów edukacyjnych realizowanych w rejonie gminy, w tym wspó³finansowanych z EFS, w których jêzyk angielski jest jêzykiem roboczym (w ci¹gu ostatnich 2 lat).;liczba krajowych projektów edukacyjnych;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H58;Liczba lokalnych (wojewódzkich, miejskich) projektów edukacyjnych realizowanych w rejonie gminy, w tym wspó³finansowanych z EFS, w których realizowana jest nauka jêzyka angielskiego (w ci¹gu ostatnich 2 lat).;Liczba lokalnych (wojewódzkich, miejskich) projektów edukacyjnych realizowanych w rejonie gminy, w tym wspó³finansowanych z EFS, w których realizowana jest nauka jêzyka angielskiego (w ci¹gu ostatnich 2 lat).;liczba lokalnych projektów edukacyjnych;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H59;Liczba lokalnych (wojewódzkich miejskich) projektów edukacyjnych realizowanych w rejonie gminy, w tym wspó³finansowanych z EFS, w których jêzyk angielski jest jêzykiem roboczym (w ci¹gu ostatnich 2 lat).;Liczba lokalnych (wojewódzkich miejskich) projektów edukacyjnych realizowanych w rejonie gminy, w tym wspó³finansowanych z EFS, w których jêzyk angielski jest jêzykiem roboczym (w ci¹gu ostatnich 2 lat).;liczba lokalnych projektów edukacyjnych;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H60;Liczba bibliotek, w których mo¿na uczyæ siê jêzyka angielskiego.;Liczba bibliotek, w których mo¿na uczyæ siê jêzyka angielskiego.;liczba bibliotek z angielskim;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H61;Liczba szkó³ jêzyków obcych, w których mo¿na uczyæ siê jêzyka angielskiego.;Liczba szkó³ jêzyków obcych, w których mo¿na uczyæ siê jêzyka angielskiego.;liczba szkó³ jêzyków obcych z angielskim;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H62;Liczba domów kultury, w których mo¿na uczyæ siê jêzyka angielskiego.;Liczba domów kultury, w których mo¿na uczyæ siê jêzyka angielskiego.;liczba domów kultury z angielskim;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H63;Liczba miejsc, w których mo¿na uczyæ siê jêzyka angielskiego odp³atnie (w tym korepetycje).;Liczba miejsc, w których mo¿na uczyæ siê jêzyka angielskiego odp³atnie (w tym korepetycje).;liczba miejsc z angielskim odp³atnie;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H64;Liczba miejsc, w których mo¿na uczyæ siê jêzyka angielskiego nieodp³atnie.;Liczba miejsc, w których mo¿na uczyæ siê jêzyka angielskiego nieodp³atnie.;liczba miejsc z angielskim nieodp³atnie;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H65;Liczba uczelni / kolegiów nauczycielskich, w których kszta³ci siê na kierunku anglistyka / nauczanie jêzyka angielskiego.;Liczba uczelni / kolegiów nauczycielskich, w których kszta³ci siê na kierunku anglistyka / nauczanie jêzyka angielskiego.;liczba uczelni z angielskim;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H66;Liczba placówek doskonalenia nauczycieli prowadz¹cych konsultacje/doradztwo metodyczne dla nauczycieli jêzyka angielskiego.;Liczba placówek doskonalenia nauczycieli prowadz¹cych konsultacje/doradztwo metodyczne dla nauczycieli jêzyka angielskiego.;liczba placówek doskonalenia nauczycieli z angielskim;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H67;Liczba konsultantów i doradców.;Liczba konsultantów i doradców.;liczba konsultantów i doradców;liczba ca³kowita;porz¹dkowa;4;;0;5000;;H66 > 0
H68;Liczba organizacji pozarz¹dowych, które organizuj¹ naukê jêzyka angielskiego. ;Liczba organizacji pozarz¹dowych, które organizuj¹ naukê jêzyka angielskiego. - WskaŸnik;liczba organizacji, nauka jêzyka angielskiego;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H69;Liczba organizacji pozarz¹dowych, które pozwalaj¹ na uczestnictwo w miêdzynarodowych projektach edukacyjnych. ;Liczba organizacji pozarz¹dowych, które pozwalaj¹ na uczestnictwo w miêdzynarodowych projektach edukacyjnych. - WskaŸnik;liczba organizacji, uczestnictwo w miêdzynarodowych projektach edukacyjnych;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H70;Liczba organizacji pozwalaj¹cych na udzia³ w miêdzynarodowych projektach realizowanych w rejonie gminy, w których jêzyk angielski jest jêzykiem roboczym (w ci¹gu ostatnich 2 lat). ;Liczba organizacji pozwalaj¹cych na udzia³ w miêdzynarodowych projektach realizowanych w rejonie gminy, w których jêzyk angielski jest jêzykiem roboczym (w ci¹gu ostatnich 2 lat).  - WskaŸnik;liczba organizacji, miêdzynarodowe projekty z jêzykiem angielskim;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H71;Liczba miêdzynarodowych projektów realizowanych w rejonie gminy, w których jêzyk angielski jest jêzykiem roboczym (w ci¹gu ostatnich 2 lat).;Liczba miêdzynarodowych projektów realizowanych w rejonie gminy, w których jêzyk angielski jest jêzykiem roboczym (w ci¹gu ostatnich 2 lat). - WskaŸnik;liczba miêdzynarodowych projektów w rejonie gminy z jêzykiem angielskim;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H72;Liczba organizacji pozwalaj¹cych na udzia³ w krajowych (ogólnopolskich, og³aszanych i realizowanych centralnie) projektach realizowanych w rejonie gminy, w tym wspó³finansowanych z EFS, w których realizowana jest nauka jêzyka angielskiego (w ci¹gu ostatnich 2 lat).;Liczba organizacji pozwalaj¹cych na udzia³ w krajowych (ogólnopolskich, og³aszanych i realizowanych centralnie) projektach realizowanych w rejonie gminy, w tym wspó³finansowanych z EFS, w których realizowana jest nauka jêzyka angielskiego (w ci¹gu ostatnich 2 lat).  - WskaŸnik;liczba organizacji, krajowe projekty, nauka jêzyka angielskiego;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H73;Liczba krajowych (ogólnopolskich, og³aszanych i realizowanych centralnie) projektów realizowanych w rejonie gminy, w tym wspó³finansowanych z EFS, w których realizowana jest nauka jêzyka angielskiego (w ci¹gu ostatnich 2 lat).;Liczba krajowych (ogólnopolskich, og³aszanych i realizowanych centralnie) projektów realizowanych w rejonie gminy, w tym wspó³finansowanych z EFS, w których realizowana jest nauka jêzyka angielskiego (w ci¹gu ostatnich 2 lat). - WskaŸnik;liczba krajowych projektów w rejonie gminy, nauka jêzyka angielskiego;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H74;Liczba organizacji pozwalaj¹cych na udzia³ w krajowych (ogólnopolskich, og³aszanych i realizowanych centralnie) projektach realizowanych w rejonie gminy, w tym wspó³finansowanych z EFS,  których jêzyk angielski jest jêzykiem roboczym (w ci¹gu ostatnich 2 lat).;Liczba organizacji pozwalaj¹cych na udzia³ w krajowych (ogólnopolskich, og³aszanych i realizowanych centralnie) projektach realizowanych w rejonie gminy, w tym wspó³finansowanych z EFS,  których jêzyk angielski jest jêzykiem roboczym (w ci¹gu ostatnich 2 lat). - WskaŸnik;liczba organizacji, udzia³ w krajowych projektach, jêzyk angielski, jêzyk roboczy;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H75;Liczba krajowych (ogólnopolskich, og³aszanych i realizowanych centralnie) projektów realizowanych w rejonie gminy, w tym wspó³finansowanych z EFS,  których jêzyk angielski jest jêzykiem roboczym (w ci¹gu ostatnich 2 lat).;Liczba krajowych (ogólnopolskich, og³aszanych i realizowanych centralnie) projektów realizowanych w rejonie gminy, w tym wspó³finansowanych z EFS,  których jêzyk angielski jest jêzykiem roboczym (w ci¹gu ostatnich 2 lat). - WskaŸnik;liczba krajowych projektów w rejonie gminy, jêzyk angielski, jêzyk roboczy;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H76;Liczba organizacji pozwalaj¹cych na udzia³ w lokalnych (wojewódzkich, miejskich) projektach edukacyjnych realizowanych w rejonie gminy, w tym wspó³finansowanych z EFS, w których realizowana jest nauka jêzyka angielskiego (w ci¹gu ostatnich 2 lat).;Liczba organizacji pozwalaj¹cych na udzia³ w lokalnych (wojewódzkich, miejskich) projektach edukacyjnych realizowanych w rejonie gminy, w tym wspó³finansowanych z EFS, w których realizowana jest nauka jêzyka angielskiego (w ci¹gu ostatnich 2 lat). - WskaŸnik;liczba organizacji, lokalne projekty, nauka jêzyka angielskiego;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H77;Liczba lokalnych (wojewódzkich, miejskich) projektów edukacyjnych realizowanych w rejonie gminy, w tym wspó³finansowanych z EFS, w których realizowana jest nauka jêzyka angielskiego (w ci¹gu ostatnich 2 lat).;Liczba lokalnych (wojewódzkich, miejskich) projektów edukacyjnych realizowanych w rejonie gminy, w tym wspó³finansowanych z EFS, w których realizowana jest nauka jêzyka angielskiego (w ci¹gu ostatnich 2 lat). - WskaŸnik;liczba lokalnych projektów w rejonie gminy, nauka jêzyka angielskiego;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H78;Liczba organizacji pozwalaj¹cych na udzia³ w lokalnych (wojewódzkich, miejskich) projektach realizowanych w rejonie gminy, w tym wspó³finansowanych z EFS, w których jêzyk angielski jest jêzykiem roboczym (w ci¹gu ostatnich 2 lat).;Liczba organizacji pozwalaj¹cych na udzia³ w lokalnych (wojewódzkich, miejskich) projektach realizowanych w rejonie gminy, w tym wspó³finansowanych z EFS, w których jêzyk angielski jest jêzykiem roboczym (w ci¹gu ostatnich 2 lat). - WskaŸnik;liczba organizacji, udzia³ w lokalnych projektach, jêzyk angielski, jêzyk roboczy;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H79;Liczba lokalnych (wojewódzkich, miejskich) projektów realizowanych w rejonie gminy, w tym wspó³finansowanych z EFS, w których jêzyk angielski jest jêzykiem roboczym (w ci¹gu ostatnich 2 lat).;Liczba lokalnych (wojewódzkich, miejskich) projektów realizowanych w rejonie gminy, w tym wspó³finansowanych z EFS, w których jêzyk angielski jest jêzykiem roboczym (w ci¹gu ostatnich 2 lat). - WskaŸnik;liczba lokalnych projektów w rejonie gminy, jêzyk angielski, jêzyk roboczy;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H80;Liczba organizacji organizuj¹cych szkolenia zwi¹zane z nauk¹ jêzyka angielskiego (w ci¹gu ostatnich 2 lat).;Liczba organizacji organizuj¹cych szkolenia zwi¹zane z nauk¹ jêzyka angielskiego (w ci¹gu ostatnich 2 lat). - WskaŸnik;liczba organizacji, szkolenia z nauk¹ jêzyka angielskiego;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H81;Liczba szkoleñ zwi¹zanych z nauk¹ jêzyka angielskiego organizowanych przez organizacje pozarz¹dowe (w ci¹gu ostatnich 2 lat).;Liczba szkoleñ zwi¹zanych z nauk¹ jêzyka angielskiego organizowanych przez organizacje pozarz¹dowe (w ci¹gu ostatnich 2 lat). - WskaŸnik;liczba szkoleñ zwi¹zanych z nauk¹ jêzyka angielskiego, organizacje pozarz¹dowe;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H82;Lista szkoleñ zwi¹zanych z nauk¹ jêzyka angielskiego organizowanych przez organizacje pozarz¹dowe (w ci¹gu ostatnich 2 lat).;Lista szkoleñ zwi¹zanych z nauk¹ jêzyka angielskiego organizowanych przez organizacje pozarz¹dowe (w ci¹gu ostatnich 2 lat). - WskaŸnik;lista szkoleñ zwi¹zanych z nauk¹ jêzyka angielskiego, organizacje pozarz¹dowe;tekst;;1020;;;;;H81 > 0
H83;Liczba organizacji organizuj¹cych szkolenia, w których jêzyk angielski jest jêzykiem roboczym (w ci¹gu ostatnich 2 lat).;Liczba organizacji organizuj¹cych szkolenia, w których jêzyk angielski jest jêzykiem roboczym (w ci¹gu ostatnich 2 lat). - WskaŸnik;liczba organizacji organizuj¹cych szkolenia, jêzyk angielski, jêzyk roboczy;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H84;Liczba szkoleñ organizowanych przez organizacje pozarz¹dowe, w których jêzyk angielski jest jêzykiem roboczym  (w ci¹gu ostatnich 2 lat).;Liczba szkoleñ organizowanych przez organizacje pozarz¹dowe, w których jêzyk angielski jest jêzykiem roboczym  (w ci¹gu ostatnich 2 lat). - WskaŸnik;liczba szkoleñ, organizacje pozarz¹dowe, jêzyk angielski, jêzyk roboczy;liczba ca³kowita;porz¹dkowa;4;;0;5000;;
H85;Lista szkoleñ organizowanych przez organizacje pozarz¹dowe, w których jêzyk angielski jest jêzykiem roboczym (w ci¹gu ostatnich 2 lat).;Lista szkoleñ organizowanych przez organizacje pozarz¹dowe, w których jêzyk angielski jest jêzykiem roboczym (w ci¹gu ostatnich 2 lat). - WskaŸnik;lista szkoleñ, organizacje pozarz¹dowe, jêzyk angielski, jêzyk roboczy;tekst;;255;;0;5000;;H84 > 0
