"";"powiattyp_nazwa";"l_oddzialow_i";"wojewodztwo";"l_uczniow_i";"jedn_id";"jedn_nazwa";"jedn_kodpoczt";"jedn_poczta";"jedn_ulica";"jedn_domlokal";"jedn_telefon";"jedn_faks";"jedn_email";"jedn_www";"rodzaj_jednostki";"zespol";"organ_prowadzacy";"publiczna";"specyfika_jednostki";"zwiazanie";"wojew_gus";"klasa_wielkosci_miejscowosci";"rodzaj_gminy";"braki_oddzialy";"sample.marker"
"367";"ziemski";"12.00";"WOJ. PODKARPACKIE";351;190000016823;"Liceum Ogólnokształcące";"36-065";"DYNÓW";"1 MAJA";"17";166521077;166521077;"lodyn9@poczta.onet.pl";"";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";18;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1498";"ziemski";"4.00";"WOJ. ŚWIĘTOKRZYSKIE";111;190000062705;"Liceum Ogólnokształcące w Odonowie";"28-500";"Kazimierza Wielka";"Odonów";"54";413521173;413521173;"zszodonow@o2.pl";"www.zszodonow.edu.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";26;"wieś";"gmina miejsko-wiejska";0;"A"
"197";"grodzki";"3.00";"WOJ. ŁÓDZKIE";26;190000010991;"Katolickie Liceum Ogólnokształcące Stowarzyszenia Przyjaciół Szkół Katolickich";"93-262";"Łódź";"Z. Nałkowskiej";"2";426434612;426434612;"spsk@szkoly.lodz.pl";"www.spsk.szkoly.lodz.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";10;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"381";"ziemski";"5.00";"WOJ. PODKARPACKIE";164;190000017911;"Liceum Ogólnokształcące";"37-450";"Stalowa Wola";"1-go Sierpnia";"26";158420640;158420640;"zs2stalowawola@pro.onet.pl";"www.zsnr2.stalowa-wola.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";18;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"399";"ziemski";"1.00";"WOJ. PODKARPACKIE";17;190000018562;"LO dla młodziezy";"39-225";"JODŁOWA";"brak";"888";146833058;146833058;"zszjod@interia.pl";"www.lojodlowa.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";18;"wieś";"gmina wiejska";0;"A"
"29";"ziemski";"9.00";"WOJ. MAŁOPOLSKIE";284;190000004691;"Salezjańskie Publiczne Liceum Ogólnokształcące";"32-600";"Oświęcim";"Jagiełły";"10";338443464;338425916;"szkola@salezjanie.edu.pl";"www.salezjanie.edu.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"303";"ziemski";"2.00";"WOJ. PODKARPACKIE";57;190000014965;"IV Liceum Ogólnokształcące";"38-500";"Sanok";"Jana III Sobieskiego";"23";134638010;134638012;"zsesanok@post.pl";"www.zs1sanok.republika.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";18;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"590";"ziemski";"0.50";"WOJ. MAZOWIECKIE";17;190000026606;"Liceum Ogólnokształcące";"07-320";"Małkinia";"Nurska";"150";296448625;296448627;"lo.malkinia@op.pl";"zs.malkinia.com";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"wieś";"gmina wiejska";0;"A"
"1589";"ziemski";"2.00";"WOJ. LUBELSKIE";47;190000067782;"Liceum Ogólnokształcące";"24-350";"Chodel";"Partyzantów";"39";818291027;818291027;"zespolszkol2@wp.pl";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";6;"wieś";"gmina wiejska";0;"A"
"773";"grodzki";"12.00";"WOJ. ŚLĄSKIE";374;190000033108;"IV Liceum Ogólnokształcące";"43-100";"Tychy";"Wejchertów";"20";NA;NA;"";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1091";"ziemski";"5.00";"WOJ. DOLNOŚLĄSKIE";98;190000045845;"Liceum Sportowe w Wałbrzychu";"58-309";"Wałbrzych";"Sokołowskiego";"75";746688880;746648880;"sekretariat@zs4.walbrzych.pl";"www.zs4walbrzych.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";2;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"530";"grodzki";"4.00";"WOJ. MAZOWIECKIE";110;190000024367;"CX LO";"02-930";"Warszawa";"Sobieskiego";"68";228424792;228167547;"sekretariat@cxlo.waw.pl";"www.cxlo.waw.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"21";"grodzki";"4.00";"WOJ. MAŁOPOLSKIE";116;190000004486;"IX Liceum Ogólnokształcące";"33-101";"Tarnów";"E.Kwiatkowskiego";"17";146360810;146360811;"dyrzsliz1@umt.tarnow.pl";"www.zsliz1.tarnow.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1195";"grodzki";"10.00";"WOJ. POMORSKIE";341;190000050790;"II Liceum Ogólnokształcace im. Bolesława Chrobrego w Sopocie";"81-838";"Sopot";"al. Niepodległości";"751";585511184;585503068;"lo2@sopot.pl";"www.lo2.sopot.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";22;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1337";"ziemski";"9.00";"WOJ. ZACHODNIOPOMORSKIE";246;190000056946;"Liceum Ogólnokształcące im. Stefana Żeromskiego";"76-150";"Darłowo";"Chopina";"4";943142515;943142515;"zsdarlowo@wp.pl";"www.lodarlowo.neostrada.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";32;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"681";"grodzki";"16.00";"WOJ. ŚLĄSKIE";499;190000028785;"III LICEUM OGÓLNOKSZTAŁCĄCE";"41-506";"CHORZÓW";"FARNA";"7";322462274;322468802;"szkola@3lo.edu.pl";"www.3lo.edu.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1533";"ziemski";"3.00";"WOJ. LUBELSKIE";46;190000065800;"Liceum Ogólnokształcące w Rybczewicach";"21-065";"Rybczewice";"-";"121";815854005;815854005;"zsorybczewice@op.pl";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";6;"wieś";"gmina wiejska";0;"A"
"376";"ziemski";"3.00";"WOJ. PODKARPACKIE";83;190000017700;"IV Liceum Ogólnokształcące";"39-300";"Mielec";"Kilińskiego";"24";177888850;177888852;"zs-mielec@wp.pl";"www.zs.mielec.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";18;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1727";"grodzki";"7.00";"WOJ. OPOLSKIE";200;190000072772;"Publiczne Liceum Ogólnokształcące nr IV";"45-867";"Opole";"Hallera";"6";774745942;774748620;"gzowski@wp.pl";"www.gzowski.opole.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";16;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1975";"ziemski";"5.00";"WOJ. ZACHODNIOPOMORSKIE";137;190000083904;"Liceum Ogólnokształcace";"78-550";"Czaplinek";"Parkowa";"1";943755266;943755266;"";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";32;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0;"A"
"718";"grodzki";"2.00";"WOJ. ŚLĄSKIE";66;190000030191;"V Liceum Ogólnokształcące";"41-218";"Sosnowiec";"Gwiezdna";"2";322633553;322980517;"lo5@sosnowiec.edu.pl";"www.lo5.sosnowiec.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"250";"ziemski";"6.00";"WOJ. ŁÓDZKIE";145;190000012588;"Zespół Szkół w Żychlinie II Liceum Ogólnokształcące";"99-320";"Żychlin";"Narutowicza";"88";242851060;242851060;"zszychlin@op.pl";"www.zszychlin.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";10;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0;"A"
"908";"ziemski";"20.00";"WOJ. WIELKOPOLSKIE";591;190000039335;"III Liceum Ogólnokształcące";"63-400";"Ostrów Wielkopolski";"Wojska Polskiego";"17";627362494;625919538;"sekretariat@3liceum.pl";"www.3liceum.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"517";"grodzki";"19.00";"WOJ. MAZOWIECKIE";603;190000023748;"I Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Bolesława Limanowskiego";"01-513";"Warszawa";"Felińskiego";"15";228394813;228394813;"jedynka@jedynka.org";"jedynka.org";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1981";"grodzki";"21.00";"WOJ. DOLNOŚLĄSKIE";676;190000084095;"Liceum Ogólnokształcące Nr IX";"50-082";"Wrocław";"Piotra Skargi";"31";713434403;713443403;"medrek@lo9.wroc.pl";"www.lo9.wroc.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";2;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"627";"ziemski";"1.00";"WOJ. MAZOWIECKIE";9;190000027412;"Liceum ogólnokształcące";"08-140";"Mordy";"3 Maja";"2";256415467;256415705;"zspmordy@powiatsiedlecki.pl";"www.zsp.mordy.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto do 5 tys.mieszkańców";"gmina miejsko-wiejska";0;"A"
"68";"grodzki";"30.00";"WOJ. MAŁOPOLSKIE";1061;190000005795;"VIII Liceum Ogólnokształcące";"31-531";"Kraków";"Grzegórzecka";"24";124211571;124211571;"liceum@viii-lo.krakow.pl";"viii-lo.krakow.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"116";"ziemski";"2.00";"WOJ. MAŁOPOLSKIE";54;190000008299;"Liceum Ogólnokształcące";"33-340";"Stary Sącz";"Daszyńskiego";"15";NA;NA;"";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";12;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0;"A"
"301";"ziemski";"2.00";"WOJ. PODKARPACKIE";49;190000014858;"Liceum Ogólnokształcące w Korczynie";"38-420";"Korczyna";"A.Fredry";"2";134354025;134354025;"sekretariat@zs.korczyna.net";"www.zs.korczyna.net";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";18;"wieś";"gmina wiejska";0;"A"
"1327";"ziemski";"7.00";"WOJ. ZACHODNIOPOMORSKIE";192;190000056606;"Liceum Ogólnokształcące dla Młodzieży";"78-320";"Połczyn Zdrój";"Stanisława Staszica";"6";943662083;943650040;"lopolczyn@wp.pl";"lopolczyn.prv.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";32;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0;"A"
"1107";"ziemski";"15.00";"WOJ. DOLNOŚLĄSKIE";341;190000046566;"Liceum Ogólnokształcące";"55-300";"Środa Śląska";"Wrocławska";"12";713173239;713173239;"";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";2;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0;"A"
"1569";"ziemski";"5.00";"WOJ. LUBELSKIE";134;190000067424;"Liceum Ogólnokształcące";"22-130";"Siedliszcze";"Szkolna";"34";825692270;825692270;"lo_siedliszcze@poczta.onet.pl";"www.siedliszcze.lublin.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";6;"wieś";"gmina wiejska";0;"A"
"1197";"ziemski";"2.00";"WOJ. POMORSKIE";43;190000050881;"II LICEUM OGÓLNOKSZTAŁCĄCE";"84-100";"PUCK";"KOLEJOWA";"7";586732051;586732702;"zsp_puck@op.pl";"www.zsppuck.internetdsl.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";22;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"522";"grodzki";"17.00";"WOJ. MAZOWIECKIE";482;190000023794;"LXX Liceum Ogólnokształcące im. Aleksandra Kamińskiego";"02-784";"Warszawa";"Dembowskiego";"1";226418290;226436024;"kamyk@liceum70.x.pl";"www.licum70.x.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1251";"grodzki";"8.00";"WOJ. KUJAWSKO-POMORSKIE";211;190000053439;"II Liceum Ogólnokształcące";"87-100";"Toruń";"Kosynierów Kościuszkowskich";"6";566485241;566548847;"";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";4;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1274";"ziemski";"7.00";"WOJ. KUJAWSKO-POMORSKIE";209;190000054391;"I Liceum Ogólnokształcące im.Stanisława Wyspiańskiego w Szubinie";"89-200";"Szubin";"Kcyńska";"1";523843942;523843942;"lo.szubin@szubin.net";"lo.szubin.net";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";4;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0;"A"
"232";"ziemski";"6.00";"WOJ. ŁÓDZKIE";160;190000012217;"Liceum Ogólnokształcące";"97-570";"Przedbórz";"Piotrkowska";"1";447812032;447812032;"liceump@poczta.onet.pl";"www.zsp-przedborz.ovh.org";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";10;"miasto do 5 tys.mieszkańców";"gmina miejsko-wiejska";0;"A"
"1902";"ziemski";"10.00";"WOJ. LUBUSKIE";293;190000080485;"Liceum Ogólnokształcące";"67-300";"Szprotawa";"Niepodległości";"7";683762566;683764594;"chrobry@zsp.szprotawa.ehost.pl";"www.zsp.szprotawa.ehost.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";8;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0;"A"
"182";"grodzki";"16.00";"WOJ. ŁÓDZKIE";457;190000010697;"I Liceum Ogólnokształcące im. M. Kopernika w Łodzi";"90-734";"Łódź";"Więckowskiego 41";"";436362722;436362722;"jedynka@1liceum.info";"www.1liceum.info";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";10;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1707";"ziemski";"15.00";"WOJ. PODLASKIE";396;190000071771;"I Liceum Ogólnokształćące";"18-300";"Zambrów";"Konopnickiej";"16";862712708;862712621;"sekretar@lokonarski.zambrow.edu.pl";"www.lokonarski.zambrow.edu.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";20;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1341";"ziemski";"19.00";"WOJ. ZACHODNIOPOMORSKIE";565;190000056987;"I LO im. Mikołaja Kopernika";"78-100";"Kołobrzeg";"E. Łopuskiego";"42-44";943544633;943544633;"dyrektor@lokopernik.info";"lokopernik.info";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";32;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1417";"ziemski";"7.00";"WOJ. WARMIŃSKO-MAZURSKIE";205;190000060196;"Liceum Ogólnokształcące";"14-200";"Iława";"Kopernika";"8a";896492670;896496173;"zsilawa@powiat-ilawski.pl";"www.zsilawa.glt.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";28;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1635";"ziemski";"7.00";"WOJ. LUBELSKIE";167;190000069005;"Liceum Ogólnokształcące";"23-300";"Janów Lubelski";"Zamoyskiego";"68";158720843;158720843;"protechlo@op.pl";"www.zsjanow.xt.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";6;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0;"A"
"616";"ziemski";"12.00";"WOJ. MAZOWIECKIE";361;190000027013;"Liceum Ogólnokształcące im. Mikołaja Kopernika w Iłży";"27-100";"iłża";"Jakuba Starszego";"6";486163342;486163342;"lo@loilza.pl";"www.loilza.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0;"A"
"1708";"ziemski";"12.00";"WOJ. PODLASKIE";331;190000071793;"Liceum Ogólnokształcące w Ciechanowcu";"18-230";"Ciechanowiec";"Szkolna";"8";NA;NA;"";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";20;"miasto do 5 tys.mieszkańców";"gmina miejsko-wiejska";0;"A"
"618";"ziemski";"1.00";"WOJ. MAZOWIECKIE";20;190000027016;"Liceum Ogólnokształcące w Wierzbicy";"26-680";"Wierzbica";"Sienkiewicza";"55";486183174;486183174;"zspw2@poczta.onet.pl";"zspwierzbica.lh.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"wieś";"gmina wiejska";0;"A"
"1489";"ziemski";"12.00";"WOJ. ŚWIĘTOKRZYSKIE";336;190000062551;"III Liceum Ogólnokształcące";"26-110";"Skarżysko-Kamienna";"Ekonomii";"7";412524040;412523340;"sko_3lo_sekr@interia.pl";"www.staszicliceum.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";26;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"931";"ziemski";"23.00";"WOJ. WIELKOPOLSKIE";785;190000040178;"I Liceum Ogólnokształcące";"63-200";"JAROCIN";"TADEUSZA KOŚCIUSZKI";"31";627472373;627477963;"dyrekcja@liceum-jarocin.pl";"www.liceum-jarocin.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0;"A"
"1451";"ziemski";"18.00";"WOJ. WARMIŃSKO-MAZURSKIE";417;190000061510;"I Liceum Ogólnokształcące";"11-500";"Giżycko";"Traugutta";"1";874282230;874282230;"lo1gizycko@poczta.onet.pl";"www.lo1.gizycko.edu.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";28;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"602";"ziemski";"7.00";"WOJ. MAZOWIECKIE";198;190000026853;"Liceum Ogólnokształcące w Warce";"05-660";"Warka";"Warszawska";"45";486672326;486673623;"liceumwarka@o2.pl";"";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0;"A"
"1958";"grodzki";"2.00";"WOJ. WARMIŃSKO-MAZURSKIE";47;190000083079;"IX Liceum Ogólnokształcące z Oddziałami Integracyjnymi";"10-684";"Olsztyn";"Wańkowicza";"1";895429368;895426706;"szkol@lo9.zso3.olsztyn.pl";"www.lo9.zso3.olsztyn.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";28;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1272";"ziemski";"17.00";"WOJ. KUJAWSKO-POMORSKIE";537;190000054374;"I Liceum Ogólnokształcące";"89-100";"Nakło nad Notecią";"Gimnazjalna";"3";523852523;523852523;"sekretariat@krzywousty.edu.pl";"www.krzywousty.edu.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";4;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0;"A"
"1057";"ziemski";"18.00";"WOJ. DOLNOŚLĄSKIE";518;190000044721;"I Liceum Ogólnokształcące w Głogowie";"67-200";"Głogów";"Jedności Robotniczej";"10";768342138;768342138;"lo1@glogow.net.pl";"www.lo1.glogow.net.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";2;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"390";"ziemski";"11.00";"WOJ. PODKARPACKIE";293;190000018152;"Liceum Ogólnokształcące";"39-460";"NOWA DĘBA";"MIKOŁAJA REJA";"7";158462232;158462232;"zsndeba@poczta.onet.pl";"www.zsndeba.info";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";18;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0;"A"
"1526";"grodzki";"18.00";"WOJ. LUBELSKIE";533;190000064682;"IV Liceum Ogólnokształcące";"21-500";"Biała Podlaska";"Akademicka";"8";NA;NA;"";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";6;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1617";"ziemski";"6.00";"WOJ. LUBELSKIE";87;190000068674;"Liceum ogólnokształcące";"23-107";"Strzyżewice";"0";"0";815628076;815628773;"sekretariat@pszczelawola.edu.pl";"www.pszczelawola.edu.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";6;"wieś";"gmina wiejska";0;"A"
"1957";"grodzki";"18.00";"WOJ. WARMIŃSKO-MAZURSKIE";507;190000083065;"VI Liceum Ogólnokształcące im. Gabriela Narutowicza w Olsztynie";"10-049";"Olsztyn";"Pstrowskiego";"5";895279357;895279357;"sekretariat@lo6.olsztyn.pl";"www.lo6.olsztyn.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";28;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1310";"ziemski";"3.00";"WOJ. KUJAWSKO-POMORSKIE";77;190000055488;"LICEUM OGÓLNOKSZTAŁCĄCE";"87-515";"ROGOWO";"";"1";542703112;542703112;"dyrektor@zs4nadroz.pl";"www.zs4nadroz.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";4;"wieś";"gmina wiejska";0;"A"
"1505";"ziemski";"6.00";"WOJ. ŚWIĘTOKRZYSKIE";152;190000064046;"LICEUM OGÓLNOKSZTAŁCACE";"26-070";"ŁOPUSZNO";"KONECKA";"2";NA;NA;"";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";26;"wieś";"gmina wiejska";0;"A"
"398";"ziemski";"24.00";"WOJ. PODKARPACKIE";707;190000018559;"I Liceum Ogólnokształcące";"39-200";"Dębica";"Słowackiego";"9";146702616;146764515;"jagiello@i-lo-debica.pl";"www.i-lo-debica.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";18;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1532";"ziemski";"5.00";"WOJ. LUBELSKIE";108;190000065658;"Liceum Ogólnokształcące";"21-311";"Komarówka Podlaska";"Waleriana Batki";"20";833535009;833535492;"zsp.komarowka@wp.pl";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";6;"wieś";"gmina wiejska";0;"A"
"945";"grodzki";"15.00";"WOJ. WIELKOPOLSKIE";433;190000040614;"III Liceum Ogólnokształcące im. Juliusza Słowackiego w Lesznie";"64-100";"Leszno";"Plac Kościuszki";"5";655299014;655299014;"3loleszno@op.pl";"3loleszno.eu";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"565";"ziemski";"8.00";"WOJ. MAZOWIECKIE";236;190000025708;"IV LO";"06-400";"Ciechanów";"Powstańców Warszawskich";"24";NA;NA;"";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"506";"grodzki";"6.00";"WOJ. MAZOWIECKIE";167;190000023325;"LXXIII Liceum Ogólnokształcace z Oddziałami Dwujęzycznymi";"02-428";"WARSZAWA";"PROMIENISTA";"12A";NA;NA;"";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"470";"grodzki";"10.00";"WOJ. MAZOWIECKIE";246;190000023107;"XCVI Liceum Ogólnokształcące";"03-964";"Warszawa";"Al. Stanów Zjednoczonych";"24";228713576;226732336;"zs37@zs37.waw.pl";"www.zs37.waw.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"794";"grodzki";"11.00";"WOJ. ŚLĄSKIE";308;190000034013;"VII Liceum Ogólnokształcące";"41-807";"Zabrze";"Chopina";"26";322711177;322711177;"school@zs10.zabrze.pl";"wwwzs10.zabrze.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";24;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1429";"grodzki";"1.00";"WOJ. WARMIŃSKO-MAZURSKIE";14;190000060789;"XIII Liceum Ogólnokształcące im. Świętej Rodziny";"10-509";"Olsztyn";"Adama Mickiewicza";"10";895236949;895236949;"lickatol@wp.pl";"www.zsk.olsztyn.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";28;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1966";"grodzki";"11.00";"WOJ. WIELKOPOLSKIE";255;190000083206;"XXX Liceum Ogólnokształcące";"61-727";"Poznan";"Działyńskich";"4/5";618522464;618524378;"sekretariat@lelelwel.poznan.pl";"www.lelewel.poznan.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";30;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
"1160";"grodzki";"13.00";"WOJ. POMORSKIE";371;190000049404;"XIV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi";"81-049";"Gdynia";"Wejherowska";"55";586631227;586633072;"liceum@zso5.gdynia.pl";"liceum.zso5.gdynia.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";22;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0;"A"
