"";"powiattyp_nazwa";"l_oddzialow_i";"wojewodztwo";"l_uczniow_i";"jedn_id";"jedn_nazwa";"jedn_kodpoczt";"jedn_poczta";"jedn_ulica";"jedn_domlokal";"jedn_telefon";"jedn_faks";"jedn_email";"jedn_www";"rodzaj_jednostki";"zespol";"organ_prowadzacy";"publiczna";"specyfika_jednostki";"zwiazanie";"wojew_gus";"klasa_wielkosci_miejscowosci";"rodzaj_gminy";"braki_oddzialy"
"546";"grodzki";"7.00";"WOJ. MAZOWIECKIE";179;190000024733;"CIX Liceum Ogólnokształcące z Oddziałami Integracyjnymi";"02-776";"Warszawa";"Hirszfelda";"11";226435756;226435756;"sekretariat@cixlo.waw.pl";"cixlowarszawa.edupage.org";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"549";"grodzki";"12.00";"WOJ. MAZOWIECKIE";371;190000024900;"VIII Liceum Ogólnokształcące";"03-719";"Warszawa";"Jagiellońska";"38";226192745;227410732;"sekretaria@wladyslaw.edu.pl";"wladyslaw.edu.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"550";"grodzki";"10.00";"WOJ. MAZOWIECKIE";293;190000024903;"CV Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi";"03-188";"Warszawa";"Vincenta van Gogha";"1";228844380;226146716;"sekretariat@zs.waw.pl";"www.zs.waw.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"551";"grodzki";"4.00";"WOJ. MAZOWIECKIE";122;190000025055;"Liceum Ogólnokształcące nr 74";"01-963";"Warszawa";"Wrzeciono";"24";228351750;228351750;"zespolszkol110@gmail.com";"www.zespolszkol110.home.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"552";"grodzki";"3.00";"WOJ. MAZOWIECKIE";76;190000025124;"XX Liceum Ogólnokształcące im. Bolesława Chrobrego w Warszawie";"03-771";"Warszawa";"Objazdowa";"3";226194540;226194540;"lo20@edu.um.warszawa.pl";"www.chrobry.edu.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"553";"grodzki";"1.50";"WOJ. MAZOWIECKIE";42;190000025144;"CXXXVII Liceum Ogólnokształcące z Oddziałami Dwujezycznymi";"03-536";"Warszawa";"Olgierda";"35/41";225119500;225119500;"sekretariat@lo137.pl";"www.lo137.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"554";"ziemski";"8.00";"WOJ. MAZOWIECKIE";218;190000025248;"Liceum Ogólnokształcące";"05-555";"Tarczyn";"Szarych Szeregów";"8";227279434;227278662;"zstarczyn@wp.pl";"http:/zstarczyn.neostrada.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto do 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"555";"ziemski";"2.00";"WOJ. MAZOWIECKIE";48;190000025298;"III Liceum Ogólnokształcące w Zespole Szkół Nr 2 w Łosicach";"08-200";"Łosice";"Piłsudskiego";"9";833590803;833590238;"zeszkzaw@post.pl";"www.zsnr2losice.home.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"556";"ziemski";"14.00";"WOJ. MAZOWIECKIE";369;190000025308;"I Liceum Ogólnokształcące";"08-200";"Łosice";"Szkolna";"5";833573303;833573303;"lolosice@pro.onet.pl";"www.losice.strefa.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"557";"ziemski";"6.00";"WOJ. MAZOWIECKIE";149;190000025317;"II Liceum Ogólnokształcące";"08-200";"Łosice";"Radzyńska";"1";833572580;833572580;"sekretariat@zs3losice.pl";"www.zs3losice.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"558";"ziemski";"3.00";"WOJ. MAZOWIECKIE";62;190000025573;"Zespół Szkół - Liceum Ogólnokształcące";"06-540";"Radzanów";"Raciązska";"53A";236798196;236798013;"zsradzanow@wp.pl";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"wieś";"gmina wiejska";0
"559";"ziemski";"5.00";"WOJ. MAZOWIECKIE";101;190000025582;"Liceum Ogólnokształcące im. ppłk. ""Torfa"" Antoniego Załęskiego";"06-445";"Strzegowo";"Wyzwolenia";"13";236794018;236794239;"lotorf@interia.pl";"lotorf.w.interia.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";14;"wieś";"gmina wiejska";0
"560";"ziemski";"3.00";"WOJ. MAZOWIECKIE";68;190000025616;"I Liceum Ogólnokształcące";"06-100";"Pułtusk";"Al. Tysiąclecia";"12";236920641;236920641;"zszrusz@wp.pl";"zszpultusk.prv.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"561";"ziemski";"18.00";"WOJ. MAZOWIECKIE";510;190000025621;"Liceum Ogólnokształcące im. Piotra Skargi";"06-100";"Pułtusk";"Piotra Skargi";"2";236920171;236925434;"lops1@poczta.onet.pl";"www.loskarga.edu.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"562";"ziemski";"5.50";"WOJ. MAZOWIECKIE";140;190000025643;"II Liceum Ogólnokształcace w Płońsku";"09-100";"Płońsk";"Sienkiewicza";"8";236622987;236622987;"zs1plonsk@neostrada.pl";"zsz1plonsk.of.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"563";"ziemski";"20.00";"WOJ. MAZOWIECKIE";647;190000025675;"I liceum Ogólnokształcące";"09-100";"Płońsk";"Płocka";"56";236622145;236622685;"zsoplonsk@neostrada.pl";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"564";"ziemski";"19.00";"WOJ. MAZOWIECKIE";556;190000025703;"II Liceum Ogólnokształcące";"06-400";"Ciechanów";"Orylska";"9";236723448;236723857;"zs2@ciechanow.pl";"www.zs2.ayz.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"565";"ziemski";"8.00";"WOJ. MAZOWIECKIE";236;190000025708;"IV LO";"06-400";"Ciechanów";"Powstańców Warszawskich";"24";NA;NA;"";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"566";"ziemski";"28.00";"WOJ. MAZOWIECKIE";834;190000025720;"I Liceum Ogólnokształcące";"06-400";"Ciechanów";"17 Stycznia";"66";236722404;236722404;"krasiniak@o2.pl";"http://www.krasiniak.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"567";"ziemski";"8.00";"WOJ. MAZOWIECKIE";222;190000025723;"III Liceum Ogólnokształcące";"06-400";"Ciechanów";"Okrzei";"6";236723051;236723051;"zs3ciech@poczta.onet.pl";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"568";"ziemski";"20.00";"WOJ. MAZOWIECKIE";605;190000025773;"I Liceum Ogólnokształcące w Mławie";"06-500";"Mława";"Wyspiańskiego";"1";236543715;236543715;"lo1mlawa@poczta.fm";"www.lo1mlawa.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"569";"ziemski";"9.00";"WOJ. MAZOWIECKIE";280;190000025775;"II LICEUM OGÓLNOKSZTAŁCĄCE";"06-500";"MŁAWA";"WARSZAWSKA";"44A";236543727;236543727;"zs4_mlawa@wp.pl";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"570";"ziemski";"8.00";"WOJ. MAZOWIECKIE";195;190000025780;"LO";"06-500";"Mława";"Piłsudskiego";"33";236543937;236543937;"zs3mlawa@op.pl";"zs3.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"571";"ziemski";"15.00";"WOJ. MAZOWIECKIE";471;190000025808;"Liceum Ogólnokształcące im. Marii Dąbrowskiej w Żurominie";"09-300";"Żuromin";"Wyzwolenia";"61";236572219;236572219;"lozuromin@zuromin-powiat.home.pl";"";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"572";"ziemski";"3.00";"WOJ. MAZOWIECKIE";93;190000025815;"LICEUM OGÓLNOKSZTAŁCACE";"09-310";"Kuczbork-Osada";"1 Maja";"8C";236579064;236579064;"zsp_zielona@poczta.onet.pl";"www.zspzielona.zuromin-powiat.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"wieś";"gmina wiejska";0
"573";"ziemski";"6.00";"WOJ. MAZOWIECKIE";134;190000025867;"Liceum Ogólnokształcące im.Jarosława Iwaszkiewicza";"05-840";"Brwinów";"Żwirowa";"16";227296347;227297466;"iwaszkiewiczlo@wp.pl";"loiwaszkiewicz.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"574";"grodzki";"23.00";"WOJ. MAZOWIECKIE";705;190000026365;"II Liceum Ogólnokształcące im. C.K.Norwida w Ostrołęce";"07-410";"Ostrołęka";"R.Traugutta";"2";297644713;297642919;"Szkola@lo2ost.internetdsl.pl";"http:/www.lo2ost.internetdsl.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"575";"grodzki";"23.00";"WOJ. MAZOWIECKIE";712;190000026434;"III Liceum Ogólnokształcące";"07-410";"Ostrołęka";"Berlinga";"5";297603692;297603692;"zs5@os.home.pl";"www.zs5.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"576";"grodzki";"24.00";"WOJ. MAZOWIECKIE";755;190000026460;"I Liceum Ogólnokształcące";"07-410";"Ostrołęka";"Traugutta";"1";297602051;297602051;"sekretariat@lo1.ostroleka.pl";"www.lo1.ostroleka.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"577";"ziemski";"3.00";"WOJ. MAZOWIECKIE";71;190000026477;"Liceum Ogólnokształcące";"06-230";"Różan";"Warszawska";"42";297669026;297669026;"lorozan2@wp.pl";"www.zsrozan.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto do 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"578";"ziemski";"6.00";"WOJ. MAZOWIECKIE";164;190000026486;"LICEUM OGÓLNOKSZTAŁCĄCE NR II";"06-200";"Maków Mazowiecki";"Adama Mickiewicza";"39";NA;NA;"";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"579";"ziemski";"16.00";"WOJ. MAZOWIECKIE";485;190000026492;"Liceum Ogólnokształcące Nr I";"06-200";"Maków Mazowiecki";"Kopernika";"6";297171285;297171209;"lommak@wp.pl";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"580";"ziemski";"3.00";"WOJ. MAZOWIECKIE";82;190000026496;"Liceum Ogólnokształcące";"06-212";"Krasnosielc";"Sadowa";"6";297175010;297175010;"zszkrasnosielc@wp.pl";"www.zskrasnosielc.edu.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"wieś";"gmina wiejska";0
"581";"ziemski";"1.00";"WOJ. MAZOWIECKIE";30;190000026509;"Liceum Ogółnokształcące w Kadzidle";"07-420";"Kadzidło";"Słoneczna";"2";297618476;297618476;"dyrektor@zsp-kadzidlo.pl";"www.zsp-kadzidlo";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"wieś";"gmina wiejska";0
"582";"ziemski";"3.00";"WOJ. MAZOWIECKIE";76;190000026522;"Liceum Ogólnokształcące w Łysych";"07-437";"Łyse";"Stanisława Krupki";"20";297725089;297725089;"zsplyse@interia.pl";"www.zsp-lyse.fc.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"wieś";"gmina wiejska";0
"583";"ziemski";"6.00";"WOJ. MAZOWIECKIE";126;190000026542;"LICEUM OGÓLNOKSZTAŁCĄCE w Myszyńcu";"07-430";"MYSZYNIEC";"DZIECI POLSKICH";"5";297721429;297721429;"zspmysz@wp.pl";"zspm.hg.pl/";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto do 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"584";"ziemski";"7.00";"WOJ. MAZOWIECKIE";177;190000026556;"Liceum Ogólnokształcące";"06-300";"Przasnysz";"Mazowiecka";"25";297522300;297522300;"zsp.przasnysz@wp.pl";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"585";"ziemski";"20.00";"WOJ. MAZOWIECKIE";637;190000026562;"Zespół Szkół Licealnych Liceum Ogólnokształcące";"06-300";"Przasnysz";"Świętego Stanisława Kostki";"15";297522336;297522618;"zslloken@wp.pl";"www.loken@net.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"586";"ziemski";"6.00";"WOJ. MAZOWIECKIE";140;190000026571;"Liceum Ogólnokształcące";"06-330";"Chorzele";"Szkolna";"4";297515024;297517070;"zspchorzele@wp.pl";"www.zspchorzele.internetdsl.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto do 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"587";"ziemski";"3.00";"WOJ. MAZOWIECKIE";101;190000026587;"Liceum Ogólnokształcące w Jednoorożcu";"06-323";"Jednorożec";"Odrodzenia";"13";297518499;297518499;"lojednorozec@wp.pl";"";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";14;"wieś";"gmina wiejska";0
"588";"ziemski";"8.00";"WOJ. MAZOWIECKIE";255;190000026594;"II Liceum Ogólnokształcące";"07-300";"Ostrów Mazowiecka";"Kościuszki";"8";297453371;297453371;"ekonomikekonomik@poczta.onet.pl";"www.ekonomik.szkola.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"589";"ziemski";"13.00";"WOJ. MAZOWIECKIE";334;190000026600;"I Liceum Ogólnokształcące";"07-300";"Ostrów Mazowiecka";"Rubinkowskiego";"8";NA;NA;"";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"590";"ziemski";"0.50";"WOJ. MAZOWIECKIE";17;190000026606;"Liceum Ogólnokształcące";"07-320";"Małkinia";"Nurska";"150";296448625;296448627;"lo.malkinia@op.pl";"zs.malkinia.com";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"wieś";"gmina wiejska";0
"591";"ziemski";"24.00";"WOJ. MAZOWIECKIE";712;190000026611;"Liceum Ogólnokształcące";"07-300";"Ostrów Mazowiecka";"Kościuszki";"36";297453753;297453753;"lo.kopernik@wp.pl";"www.koperniczek.net";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"592";"ziemski";"4.00";"WOJ. MAZOWIECKIE";114;190000026633;"II Liceum Ogólnokształcące";"07-200";"Wyszków";"I Armii Wojska Polskiego";"89";297425427;297425427;"zs1@zs1wyszkow.edu.pl";"www.zs1wyszkow.edu.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"593";"ziemski";"21.00";"WOJ. MAZOWIECKIE";646;190000026644;"I Liceum Ogólnokształcące w Wyszkowie";"07-200";"Wyszków";"11 Listopada";"1";297424622;297424622;"szkola@1lowyszkow.home.pl";"www.1lowyszkow.home.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"594";"ziemski";"7.00";"WOJ. MAZOWIECKIE";161;190000026743;"Liceum Ogólnokształcące w Gąbinie";"09-530";"Gąbin";"Stanisława Staszica";"1";242771049;242771257;"zsgabin@wp.pl";"zsgabinwp.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto do 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"595";"ziemski";"3.00";"WOJ. MAZOWIECKIE";82;190000026759;"Liceum Ogólnokształcące";"09-440";"STAROŹREBY";"SZKOLNA";"7";242617810;242617810;"zs_starozreby@interklasa.pl";"www.zsstarozreby.c0.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"wieś";"gmina wiejska";0
"596";"ziemski";"5.00";"WOJ. MAZOWIECKIE";119;190000026763;"Liceum Ogólnokształcące w Wyszogrodzie";"09-450";"Wyszogród";"Niepodległości";"11a";NA;NA;"";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto do 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"597";"ziemski";"23.00";"WOJ. MAZOWIECKIE";656;190000026798;"LICEUM OGÓLNOKSZTAŁCĄCE IM. MJRA HENRYKA SUCHARSKIEGO W SIERPCU";"09-200";"SIERPC";"SUCHARSKIEGO";"2";242752201;242752272;"LOSIERPC@ICENTER.PL";"WWW.LOSIERPC.EDU.PL";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"598";"ziemski";"4.00";"WOJ. MAZOWIECKIE";132;190000026806;"LIceum Ogólnokształcące w Zespole Szkół nr 1 w Sierpcu";"09-200";"Sierpc";"Armii Krajowej";"10";242752373;242752373;"zs1sierpc@op.pl";"http://zs1sierpc.cba.pl/";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"599";"ziemski";"5.00";"WOJ. MAZOWIECKIE";122;190000026829;"Liceum Ogólnokształcące w Grójcu";"05-600";"Grójec";"Ks. Piotra Skargi";"12";486642620;486642739;"zspgrojec@o2.pl";"zspgrojec.eu";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"600";"ziemski";"8.00";"WOJ. MAZOWIECKIE";163;190000026851;"Liceum Ogólnokształcące w Nowym Mieście nad Pilicą";"26-420";"Nowe Miasto nad Pilicą";"Ogrodowa";"16a";486741023;486741023;"liceumnowe@opp.pl";"www.liceumnowe.home.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto do 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"601";"ziemski";"21.00";"WOJ. MAZOWIECKIE";535;190000026852;"Liceum Ogólnokształcące w Grójcu";"05-600";"Grójec";"Poświętne";"17";486642474;486642489;"logrojec@poczta.pl";"logrojec.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"602";"ziemski";"7.00";"WOJ. MAZOWIECKIE";198;190000026853;"Liceum Ogólnokształcące w Warce";"05-660";"Warka";"Warszawska";"45";486672326;486673623;"liceumwarka@o2.pl";"";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"603";"ziemski";"3.00";"WOJ. MAZOWIECKIE";65;190000026860;"II Liceum Ogólnokształcące w Warce";"05-660";"Warka";"Obwodowa";"2";486672174;486673489;"";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"604";"ziemski";"1.00";"WOJ. MAZOWIECKIE";22;190000026898;"Liceum Ogólnokształcące w Borkowicach";"26-422";"Borkowice";"Platanowa";"1";486757928;486757928;"borkowicezsr1@wp.pl";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"wieś";"gmina wiejska";0
"605";"ziemski";"3.00";"WOJ. MAZOWIECKIE";75;190000026904;"Liceum Ogólnokształcące w Przysusze";"26-400";"Przysucha";"Warszawska";"28";486752463;486755667;"zsz@przysucha.pl";"www.przysucha.pl/zsz";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"606";"ziemski";"20.00";"WOJ. MAZOWIECKIE";559;190000026910;"Liceum Ogólnokształcące w Przysusze";"26-400";"Przysucha";"Al. Jana Pawła II";"13";486752570;486752570;"zsp@przysucha.pl";"www.przysucha.pl/zsp";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"607";"ziemski";"3.00";"WOJ. MAZOWIECKIE";80;190000026913;"Liceum Ogólnokształcące w Lipinach";"26-425";"Odrzywół";"";"40";486716019;486716291;"zselipiny@o2.pl";"zselipiny.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"wieś";"gmina wiejska";0
"608";"ziemski";"6.00";"WOJ. MAZOWIECKIE";163;190000026953;"II Liceum Ogólnokształcące w Szydłowcu";"26-500";"Szydłowiec";"Kościuszki";"39";486170012;486174831;"info@zskop.internetdsl.pl";"www.zskop.eu";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"609";"ziemski";"15.00";"WOJ. MAZOWIECKIE";355;190000026957;"Zespół Szkół Ogólnokształcących w Szydłowcu";"26-500";"Szydłowiec";"Zamkowa";"1";486170006;486178944;"loszydlo@poczta.onet.pl";"www.liceum.webd.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"610";"ziemski";"2.00";"WOJ. MAZOWIECKIE";52;190000026965;"Liceum Ogólnokształcące w Zwoleniu";"26-700";"Zwoleń";"Wojska Polskiego";"78";486762034;486762034;"zsrzwolen@interia.pl";"zsrtzwolen@republika.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"611";"ziemski";"14.00";"WOJ. MAZOWIECKIE";435;190000026971;"Liceum Ogólnokształcące w Zwoleniu";"26-700";"Zwoleń";"Żeromskiego";"34";NA;NA;"";"";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"612";"ziemski";"16.00";"WOJ. MAZOWIECKIE";466;190000026989;"Liceum Ogólnokształcące im. Armii Krajowej w Białobrzegach";"26-800";"Białobrzegi";"Targowicka";"3";486132664;486134244;"loak1@poczta.onet.pl";"www.lobialobrzegi.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"613";"ziemski";"2.00";"WOJ. MAZOWIECKIE";46;190000026998;"II Liceum Ogólnokształcące w Pionkach";"26-670";"Pionki";"Parkowa";"6";486128090;486128090;"zspg2@wp.pl";"www.zielone.xu.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"614";"ziemski";"5.00";"WOJ. MAZOWIECKIE";119;190000027004;"Liceum Ogólnokształcące w Chwałowicach";"27-100";"Iłża";"-";"247";486163049;486163049;"zsrchwal@kki.pl";"zspchwalowice.kki.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"wieś";"gmina miejsko-wiejska";0
"615";"ziemski";"6.00";"WOJ. MAZOWIECKIE";147;190000027008;"I Liceum Ogólnokształcące w Pionkach";"26-670";"Pionki";"Aleja Jana Pawła II";"7";486121524;486121522;"zsch.pionki@wp.pl";"www.czerwone.edu.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"616";"ziemski";"12.00";"WOJ. MAZOWIECKIE";361;190000027013;"Liceum Ogólnokształcące im. Mikołaja Kopernika w Iłży";"27-100";"iłża";"Jakuba Starszego";"6";486163342;486163342;"lo@loilza.pl";"www.loilza.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejsko-wiejska";0
"617";"ziemski";"12.00";"WOJ. MAZOWIECKIE";322;190000027014;"Liceum Ogólnokształcące im.Marii Dąbrowskiej w Pionkach";"26-670";"Pionki";"Aleje Lipowe";"23";486123359;486123359;"lopionki@lopionki.pl";"www.lopionki.pl";"Liceum ogólnokształcące";"f";NA;"publiczna";"brak specyfiki";"brak związania";14;"miasto powyżej 5 tys.mieszkańców";"gmina miejska";0
"618";"ziemski";"1.00";"WOJ. MAZOWIECKIE";20;190000027016;"Liceum Ogólnokształcące w Wierzbicy";"26-680";"Wierzbica";"Sienkiewicza";"55";486183174;486183174;"zspw2@poczta.onet.pl";"zspwierzbica.lh.pl";"Liceum ogólnokształcące";"t";NA;"publiczna";"brak specyfiki";"brak związania";14;"wieś";"gmina wiejska";0
